Track ID,Name,Artist,Album,Genre,Total Time (ms),Date Added,Play Count,Skip Count
1689,Beautiful Mistakes,Maroon 5 & Megan Thee Stallion,Beautiful Mistakes - Single,Pop,227395,2021-05-27 01:25:20,52.0,1.0
1691,RAPSTAR,Polo G,Hall of Fame,Hip-Hop/Rap,165926,2021-06-16 08:42:19,24.0,3.0
1693,Hips Don't Lie (feat. Wyclef Jean),Shakira,"Oral Fixation, Vol. 2 (Expanded Edition)",Pop,218093,2021-06-19 18:26:50,30.0,5.0
1695,Holiday,KSI,All Over the Place (Deluxe),Pop,193733,2021-06-19 13:35:35,31.0,2.0
1697,Patience (feat. YUNGBLUD & Polo G),KSI,All Over the Place (Deluxe),Hip-Hop/Rap,181720,2021-06-20 01:23:48,26.0,5.0
1699,Sweet Dreams (Are Made of This),Dance Fruits Music & Steve Void,Sweet Dreams (Are Made of This) - Single,Dance,122000,2021-06-23 02:13:59,29.0,5.0
1701,Ramenez la coupe à la maison,Vegedream,Ramenez la coupe à la maison - Single,R&B/Soul,235556,2021-06-24 05:06:20,25.0,7.0
1703,Papaoutai,Stromae,Papaoutai - Single,French Pop,231465,2021-07-03 03:02:44,38.0,7.0
1705,Bad Habits,Ed Sheeran,Bad Habits - Single,Pop,230747,2021-07-10 12:05:54,32.0,5.0
1707,Can't Remember to Forget You (feat. Rihanna) [Album],Shakira,Shakira. (Expanded Edition) [Spanish Version],Pop Latino,206867,2021-07-12 07:23:20,36.0,7.0
1709,Love You Like a Love Song,Selena Gomez & The Scene,For You,Pop,188453,2021-07-17 04:13:32,51.0,8.0
1711,STAY,The Kid LAROI & Justin Bieber,STAY - Single,Pop,141806,2021-07-19 05:18:48,56.0,7.0
1713,Cold Heart (PNAU Remix),Elton John & Dua Lipa,Cold Heart (PNAU Remix) - Single,Pop,202735,2021-08-21 17:38:54,34.0,4.0
1715,Heat Waves,Glass Animals,Dreamland,Alternative,238805,2021-09-02 21:17:25,36.0,4.0
1717,Turn Me On,Kevin Lyttle,Turn Me On - Single,Reggae,192107,2021-11-19 01:31:02,15.0,5.0
1719,Can't Get You out Of My Head,Glimmer of Blooms,Can't Get You out Of My Head - Single,Pop,200438,2021-11-20 23:48:57,19.0,5.0
1721,Angel (feat. Rayvon),Shaggy,Hot Shot,Pop,235133,2022-05-09 20:18:56,13.0,4.0
1723,Softcore,The Neighbourhood,Hard To Imagine The Neighbourhood Ever Changing,Alternative,206280,2022-07-18 05:11:12,42.0,6.0
1725,Under the Influence,Chris Brown,Indigo (Extended),R&B/Soul,184204,2022-09-02 20:32:29,26.0,1.0
1727,METAMORPHOSIS,INTERWORLD,METAMORPHOSIS - Single,Electronic,142839,2022-10-26 23:46:49,15.0,7.0
1729,Substance,03 Greedo,The Wolf of Grape Street,Hip-Hop/Rap,219834,2022-10-29 03:10:10,12.0,10.0
1731,Rich Flex,Drake & 21 Savage,Her Loss,Hip-Hop/Rap,239360,2022-11-26 03:37:54,11.0,5.0
1733,"Quevedo: Bzrp Music Sessions, Vol. 52",Bizarrap & Quevedo,"Quevedo: Bzrp Music Sessions, Vol. 52 - Single",Hip-Hop/Rap,198938,2022-12-05 19:16:15,46.0,6.0
1735,She Doesn't Mind,Sean Paul,Tomahawk Technique,Pop,227787,2023-01-07 03:19:15,33.0,6.0
1737,Meet Me Halfway,Black Eyed Peas,The E.N.D. (The Energy Never Dies) [International Version],Pop,284373,2023-01-07 17:35:41,27.0,7.0
1739,All The Things She Said (Teaboy Flip),Teaboy,All The Things She Said - Single,Pop,164327,2023-02-18 03:00:20,18.0,2.0
1741,She Wolf,Shakira,She Wolf (Deluxe Version),Pop,188867,2023-02-22 06:12:16,26.0,3.0
1743,People You Know,Selena Gomez,Rare (Deluxe),Pop,194900,2023-03-02 17:34:11,12.0,3.0
1745,Sacrifice,Elton John,Sleeping With the Past (Remastered),Pop,304133,2023-03-05 21:34:16,18.0,5.0
1747,You Give Love a Bad Name,Bon Jovi,Slippery When Wet,Hard Rock,222644,2023-03-11 02:07:18,29.0,7.0
